adult,backdrop_path,genre_ids,id,title,original_language,original_title,overview,popularity,poster_path,release_date,softcore,video,vote_average,vote_count
False,/eVIuBKpeLB8rkozkj8bVmxDuAsp.jpg,"[18, 37, 10749, 10752]",4476,Legends of the Fall,en,Legends of the Fall,"In early 20th-century Montana, Col. William Ludlow lives on a ranch in the wilderness with his sons, Alfred, Tristan, and Samuel. Eventually, the unconventional but close-knit family are bound by loyalty, tested by war, and torn apart by love, as told over the course of several decades in this epic saga.",12.4638,/t1KPGlW0UGd0m515LPQmk2F4nu1.jpg,1994-12-23,False,False,7.394,2869
False,/7jaNOECZG8uS1tlq69HsY5xY8P9.jpg,"[28, 10752, 36]",855,Black Hawk Down,en,Black Hawk Down,"When U.S. Rangers and an elite Delta Force team attempt to kidnap two underlings of a Somali warlord, their Black Hawk helicopters are shot down, and the Americans suffer heavy casualties, facing intense fighting from the militia on the ground.",29.3823,/7fU5dSqKRL4XHeEUz62rCKBfYok.jpg,2001-12-28,False,False,7.394,6405
False,/d3eUH2Cb9C121I43kpYaPjyEDq1.jpg,[18],290542,You're Not You,en,You're Not You,"When an accomplished pianist is diagnosed with the devastating and incurable disease ALS, she hires a directionless young woman who becomes her full-time caregiver. Complete opposites, the strangers form a life-changing bond inspiring each other to live life to fullest, while being brought together by the most challenging of circumstances.",2.3734,/jvrdukoeCuVckHlbAxU0MPoIzPI.jpg,2014-10-10,False,False,7.393,842
False,/xoFolYFMGVzIOjYhEhyBiYbBpqK.jpg,[18],10647,Pay It Forward,en,Pay It Forward,"Like some other kids, 12-year-old Trevor McKinney believed in the goodness of human nature. Like many other kids, he was determined to change the world for the better. Unlike most other kids, he succeeded.",5.0357,/62OIokwaxFwBFWM147ijLJsaVJD.jpg,2000-10-20,False,False,7.393,2029
False,/MMSI9WzRmOdqXarevQ3Kqnytrx.jpg,"[28, 53, 878]",8810,Mad Max 2,en,Mad Max 2,"Max Rockatansky returns as the heroic loner who drives the dusty roads of a postapocalyptic Australian Outback in an unending search for gasoline. Arrayed against him and the other scraggly defendants of a fuel-depot encampment are the bizarre warriors commanded by the charismatic Lord Humungus, a violent leader whose scruples are as barren as the surrounding landscape.",6.4453,/l1KVEhkGDpWRzQ0VqIhZqDDuOim.jpg,1981-12-24,False,False,7.393,4204
False,/lewYqqt8epnjFhEOIIIINX9Z8EE.jpg,"[12, 35, 18]",463257,The Peanut Butter Falcon,en,The Peanut Butter Falcon,A down-on-his-luck crab fisherman embarks on a journey to get a young man with Down syndrome to a professional wrestling school in rural North Carolina and away from the retirement home where he’s lived for the past two and a half years.,2.9151,/qyQcRGvdW3VtxHR4fSDgPOePEip.jpg,2019-08-09,False,False,7.392,1620
False,/f7EQtjydqW0F76fUpBvxqxKskjd.jpg,"[28, 16, 80, 878]",14092,Ghost in the Shell 2.0,ja,GHOST IN THE SHELL／攻殻機動隊2.0,"In the year 2029, Section 9, a group of cybernetically enhanced cops, are called in to investigate and stop a highly-wanted hacker known as 'The Puppetmaster'.",2.2415,/5ngIhoA0b4aGBoPFPURAbDwCKT7.jpg,2008-07-12,False,False,7.391,464
False,/bwLQCW6LqmrJ6aJsevypcg93JCU.jpg,"[80, 18, 53]",1645,A Time to Kill,en,A Time to Kill,"A young lawyer defends a black man accused of murdering two white men who raped his 10-year-old daughter, sparking a rebirth of the KKK.",11.9701,/w8UCke112E9jrhjKcwG32kyhTx5.jpg,1996-07-24,False,False,7.391,2989
False,/3fChciF2G1wXHsyTfJD9y7uN6Il.jpg,"[27, 18, 14]",628,Interview with the Vampire,en,Interview with the Vampire,"A vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter.",8.8675,/2162lAT2MP36MyJd2sttmj5du5T.jpg,1994-11-11,False,False,7.391,6468
False,/aozj1tYuAIgopkiSPogePgSxZkR.jpg,"[35, 10749]",860159,Crush,en,Crush,"When an aspiring young artist is forced to join her high school track team, she uses it as an opportunity to pursue the girl she's been harboring a long-time crush on. But she soon finds herself falling for an unexpected teammate and discovers what real love feels like.",2.7335,/hayr56csDzCSADaejgrRMVPHyDy.jpg,2022-04-29,False,False,7.39,494
